STATION,NAME,COUNTY,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WESD,WESF,WT01,WT03,WT04,WT05,WT06,WT11
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/15/2008,,,,,,21,27,14,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/15/2008,,,0,0,0,,43,32,34,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/15/2008,,,0,,18,16,23,13,14,6.5,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/15/2008,,,0.13,0,0,,53,26,29,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/15/2008,,,0,,46,,,,,11.8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/15/2008,,,,,,36,45,29,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/16/2008,,,,,,19,32,11,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/16/2008,,,0,0,0,,45,18,29,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/16/2008,,,0.1,,18,18,25,12,25,6.5,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/16/2008,,,0,0,0,,37,18,19,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/16/2008,,,0,,46,,,,,11.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/16/2008,,,,,,30,39,21,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/17/2008,,,,,,26,43,16,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/17/2008,,,0,0,0,,37,22,24,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/17/2008,,,0,,18,29,40,23,25,6.3,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/17/2008,,,0,0,0,,37,18,33,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/17/2008,,,0,,46,,,,,11.6,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/17/2008,,,,,,32,43,23,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/18/2008,,,,,,29,45,21,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/18/2008,,,0,0,0,,41,19,21,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/18/2008,,,0.1,,16,30,38,24,33,6.3,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/18/2008,,,0,0,0,,48,23,25,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/18/2008,,,0,,46,,,,,11.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/18/2008,,,,,,30,39,20,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/19/2008,,,,,,31,44,26,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/19/2008,,,0,0,0,,38,21,29,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/19/2008,,,0.1,,17,31,38,22,23,6.5,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/19/2008,,,0,0,0,,44,25,42,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/19/2008,,,0.3,,46,,,,,11.9,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/19/2008,,,,,,38,50,28,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/20/2008,,,,,,22,29,12,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/20/2008,,,0,0,0,,51,28,32,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/20/2008,,,0.1,,26,17,24,7,7,6.6,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/20/2008,,,0.07,0,0,,52,31,32,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/20/2008,,,0.2,,46,,,,,11.7,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/20/2008,,,,,,32,37,27,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/21/2008,,,,,,9,24,2,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/21/2008,,,0,0,0,,34,22,22,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/21/2008,,,0.1,,24,5,10,-1,6,7.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/21/2008,,,0.1,1.5,2,,32,3,8,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/21/2008,,,0,,46,,,,,11.5,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/21/2008,,,,,,23,31,11,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/22/2008,,,,,,12,26,0,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/22/2008,,,0,0,0,,32,6,9,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/22/2008,,,0.2,,23,12,23,4,13,7.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/22/2008,,,0,0,2,,19,4,8,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/22/2008,,,0,,46,,,,,11.3,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/22/2008,,,,,,18,29,7,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/23/2008,,,,,,16,34,7,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/23/2008,,,0,0,0,,27,6,7,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/23/2008,,,0,,22,18,26,10,17,7.6,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/23/2008,,,0,0,2,,25,6,8,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/23/2008,,,0,,46,20,29,15,16,11.3,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/23/2008,,,,,,18,28,9,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/24/2008,,,,,,18,32,10,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/24/2008,,,0,0,0,,29,5,6,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/24/2008,,,0,,21,17,23,11,18,8.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/24/2008,,,0,0,2,,23,4,7,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/24/2008,,,0.1,,46,17,25,11,15,11.2,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/24/2008,,,,,,17,25,6,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/25/2008,,,,,,25,37,13,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/25/2008,,,0,0,0,,25,4,7,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/25/2008,,,0.1,,21,23,31,16,24,6.9,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/25/2008,,,0,0,2,,21,7,13,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/25/2008,,,0,,43,21,31,14,24,11.3,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/25/2008,,,,,,19,32,7,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/26/2008,,,,,,32,37,26,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/26/2008,,,0,0,0,,30,12,19,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/26/2008,,,0.2,,21,29,32,24,32,7.6,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/26/2008,,,0,0,2,,28,13,22,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/26/2008,,,0.6,,51,29,33,23,30,11.8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/26/2008,,,,,,24,29,12,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/27/2008,,,,,,28,37,20,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/27/2008,,,0.42,0,0,,31,19,31,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/27/2008,,,0.5,,30,25,33,15,15,9.1,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/27/2008,,,0.1,1,1,,46,15,32,,,,,,,,
USS0019D02S,"ARBUCKLE MOUNTAIN, OR US",MORROW,45.19,-119.25,1758.7,1/27/2008,,,1,,58,24,32,15,15,12.8,,,,,,,
USR0000OUMA,"UMATILLA NWR OREGON, OR US",MORROW,45.9167,-119.5667,82.3,1/27/2008,,,,,,31,33,29,,,,,,,,,
USR0000OTUP,"TUPPER OREGON, OR US",MORROW,45.0708,-119.49,1219.2,1/28/2008,,,,,,21,31,13,,,,,,,,,
USC00350858,"BOARDMAN, OR US",MORROW,45.8472,-119.6933,85.3,1/28/2008,,,0.62,0,0,,32,12,13,,,,,,,,
USS0019D03S,"MADISON BUTTE, OR US",MORROW,45.11,-119.5,1569.7,1/28/2008,,,0.1,,29,16,20,11,18,8.8,,,,,,,
USC00353827,"HEPPNER, OR US",MORROW,45.3653,-119.5639,574.5,1/28/2008,,,0.78,7,7,,33,20,26,,,,,,,,
